seed,gust_amp,lift_bias,rate_scale,sigma_scale,delta,ebar,lag,nullrate,rate_max,rate_binds_pct,band_lost,jang,K_max
112,0.057250620421234015,-0.19733434652542511,0.7523972436944678,1.0621447003492843,1.833114881426843,0.19792930376063378,0.16611188080780842,0.005673743226259554,0.9679541229151006,0.0,False,0.07503757239492789,0.6128831553546497
113,0.03371732318839172,-0.02770676426049769,0.9653168990496992,0.9788823375277258,1.0389885828789642,0.029560847658765876,0.14169633237150528,0.0034252263031212798,0.9534577978448685,0.0,False,0.06016894316207934,0.5429914569015123
114,0.04859160560604378,-0.09561313914297581,1.0542648242164758,0.9635815755703877,2.53867221216917,0.09668724433353582,0.22151208516366075,0.004902552956385588,0.7278416178922001,0.0,False,0.07856989459469683,0.9516688492649895
115,0.05914181933501453,-0.1648613811149283,1.2411808248696845,0.8841745753105128,3.2235308947367556,0.16558506786496485,0.3165750522737172,0.005735266650231516,0.5855455291120201,0.0,False,0.08040502212305035,0.9406868382078861
116,0.034291061405863646,-0.15596898861259412,1.103013489612867,0.7831976003022784,1.8698873023724174,0.1568185355973718,0.1645541348763416,0.00474651609688998,0.5608475951858685,0.0,False,0.06260253701105073,0.5493857081936698
117,0.054206828891162004,0.027025426732178205,1.1221211760790462,0.7733756117474233,3.9413633310222598,0.027697637320687418,0.16425517218087649,0.0036555725882465853,0.8249308724980542,0.0,False,0.05793005754486302,1.6968065561905006
118,0.03444294500563456,0.030249774002588187,1.2283815697755847,0.9037346597610536,2.8097096882896437,0.03092409456256684,0.12291765680124017,0.003655572665616437,0.7902552206377526,0.0,False,0.05851026491572749,0.6975614198724531
119,0.04720463089585669,0.02609645688855024,1.1162784524971334,0.7674469546057893,2.4764335918196085,0.026768059571370184,0.14492586524501871,0.003655572565819895,0.8292140462404286,0.0,False,0.05816781736117756,0.7789273107334513
120,0.0655079365368758,-0.13654538161877589,1.0877242076298348,1.1887679608505892,2.76015771491282,0.1374103287452414,0.19227154610123198,0.005349198509352887,0.6310168316873963,0.0,False,0.08795270021888926,0.8002063750713496
121,0.030918991480989547,0.39820286216075884,1.179457392722278,1.3073512224484714,2.1891285231537525,0.39956237532352823,0.0847213766027018,0.0009610901267588556,1.0210569665409754,0.0,False,0.09981531341841157,0.6300055835694803
