theta,seed,settled_max,settled_rms,whole_max,descent
2.0,4,0.08930089240764971,0.03649455906559927,0.08930089240764971,2.197130126945325
2.0,5,0.057161820328136326,0.025243470261180335,0.057161820328136326,2.1715135994438697
2.0,6,0.06588296003889327,0.03394572258400464,0.08920975575351586,2.1597981605525405
2.0,7,0.07304018562373948,0.026364461049140274,0.07304018562373948,2.201552858652647
2.0,8,0.04835954722889513,0.01931253704452305,0.057906538863673473,2.1456535555329026
2.0,9,0.09095658928665151,0.044628905644814705,0.12071974157931442,2.1634207293811727
5.0,0,0.0740530522582643,0.024820365518111346,0.0740530522582643,2.1713191307952115
5.0,1,0.06362712614710486,0.023663604282550984,0.07290531513928422,2.188771702344681
5.0,2,0.10284173174734912,0.03046120459650488,0.1111636479058824,2.163188551061623
5.0,3,0.06282935749770391,0.020980590126560058,0.07139076491213059,2.2027516559084575
5.0,4,0.08920701511308837,0.03644693917118093,0.08920701511308837,2.1965773198887035
5.0,5,0.057022931696219636,0.025128689728688286,0.06088465005263344,2.171356478527457
5.0,6,0.06611662527446516,0.034080836372279814,0.089377781910432,2.159715194649351
5.0,7,0.07327807318780755,0.02639510826624821,0.07327807318780755,2.2007905455308503
5.0,8,0.04882805067684792,0.019264395836114022,0.057906538863673473,2.1465668887148723
5.0,9,0.09187170503539477,0.044752358860722694,0.1233617519878667,2.1631293992747516
10.0,0,0.07408506628256473,0.02495220304469476,0.07408506628256473,2.1710088248595127
10.0,1,0.06406461894591198,0.02384594601750431,0.10657354809808739,2.188991511786398
10.0,2,0.11366339828419525,0.03125322711302596,0.11415936269015603,2.1593200952593747
10.0,3,0.06363701765924801,0.02108028770378457,0.11236182040886056,2.2028303841756554
10.0,4,0.0899415695662491,0.036689074257784685,0.0899415695662491,2.1969530502963863
10.0,5,0.05764298983753502,0.02544196121763961,0.09802630798026479,2.171568992162605
10.0,6,0.06607399698724348,0.0343106675309152,0.10902317284631868,2.159575782446069
10.0,7,0.07331928803042653,0.02645564855195517,0.10118342006753811,2.200318239623968
10.0,8,0.05014180766108134,0.019464126627006122,0.09074150055453067,2.1471026247555187
10.0,9,0.09059237223389349,0.04487104387174369,0.12099534109356114,2.162887457059284
