alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
6,-10,5,55,0.1782443273230999,0.0664640980927348,0.0047181733977145,0.0011826850835989,75.5655615942768
6,-10,5,70,0.1786570095851111,0.06722587602699882,0.0046042342034915,0.0010948443920491,81.24640817383178
6,-10,10,40,0.4337445930610187,0.016826368628194362,0.0070719828898474,0.0011377767451782,69.47543241982802
6,-10,10,55,0.4377642326459119,0.016574281464507956,0.0067320426393131,0.0010074762108505,76.86136148897687
6,-10,10,70,0.4418416485958308,0.01655645311405173,0.0064863682553968,0.0009258777024792,82.51875712682077
6,-5,-10,40,-0.2601795710541851,0.16733936294989837,0.0027128564538605,0.0029876842377427,66.9363456504921
6,-5,-10,55,-0.2628144457371463,0.1678135235255481,0.0026121325566625,0.0023887654603718,73.93084936430719
6,-5,-10,70,-0.2647003768448718,0.16850858688588088,0.0025469248342442,0.0020973741188091,79.39318299098743
6,-5,-5,40,0.0234037584892366,0.11142983975571918,0.0037082001205309,0.0018308874408219,67.46678786975295
6,-5,-5,55,0.0246752005899232,0.11126103093637434,0.0035906082303304,0.0015152488925174,74.68133065162041
6,-5,-5,70,0.0245045053656123,0.1118904426922597,0.0035121226250549,0.0013394637208834,80.250456106897
6,-5,0,40,0.2916646318923959,0.058215325708275,0.005201836152295,0.0011774855222997,68.32780093821097
6,-5,0,55,0.2933162443473682,0.05850856011876637,0.0050063689174432,0.0010542991209975,75.73378133264288
6,-5,0,70,0.2956375306962471,0.058985811104378526,0.0048534455628359,0.0009902750746715,81.4090396678171
6,-5,5,40,0.5476864298691816,0.008823126912140777,0.0072639126406043,0.0010528640997672,69.5501579467647
6,-5,5,55,0.5532255561763312,0.008519330594384585,0.0068979326826675,0.0009598907001236,76.93995453257052
6,-5,5,70,0.5591040214593207,0.008359453498252114,0.0066358427482579,0.0008988802046051,82.59942695172207
6,-5,10,40,0.7926261942193515,-0.037161066174064346,0.0104364440715314,0.0009267141976013,70.72490263017242
6,-5,10,55,0.8019278137362036,-0.03832416630150612,0.0098659919037436,0.0008312503110514,78.24626032826338
6,-5,10,70,0.8111205094807402,-0.03924835824102607,0.0094610935810715,0.0007686893669815,83.95989863270843
6,0,-10,40,0.1403552937224433,0.1059435171256363,0.004260185085353,0.0028814631116059,68.31277782488769
6,0,-10,55,0.1374199908189582,0.10611996631589361,0.0040863163209458,0.0021869525299198,75.39289283827839
6,0,-10,70,0.1416038503123275,0.10547176409811683,0.0039522007818424,0.0018264744175031,80.85991698378463
6,0,-5,40,0.3951806209757896,0.055613073475369396,0.0058819596546473,0.0018427861942383,69.08826409497297
6,0,-5,55,0.407484289301291,0.05328704585122485,0.005565021724063,0.0015111562901511,76.32077217116657
6,0,-5,70,0.4163385653570415,0.052051819062990654,0.0053369454209422,0.0013135678896226,81.8744469217031
6,0,0,40,0.6612296593356484,0.003903635284388647,0.0079420326559892,0.0011989199415139,69.91062802420896
6,0,0,55,0.6701827666344342,0.0025578083308374065,0.0075093361869809,0.0009718303941993,77.2727085226049
6,0,0,70,0.6804520087114405,0.0012069622065938638,0.0071887647139689,0.0008595935525191,82.90336099674036
6,0,5,40,0.9085181308376032,-0.04461242091639564,0.0109635644268765,0.0008284119268346,70.84652258227543
