seed,gamma,whole_max,settled_max,descent
15,2.0,0.04313134480387637,0.038347291597654376,1.1653851100268326
16,2.0,0.06298768970348312,0.06298768970348312,1.8866167114722145
17,2.0,0.07616303589403417,0.07616303589403417,0.9615905157643141
18,2.0,0.07228710169916641,0.024536698847377192,0.46679364523069466
19,2.0,0.1027108802793395,0.08518927558352751,1.7122342498742853
20,2.0,0.07253418121534216,0.05459645033564309,2.2048337390696275
21,2.0,0.06378280393685998,0.028928997894010378,0.8781639441063476
22,2.0,0.09626414642315528,0.0732321461983847,0.6899610501093889
23,2.0,0.08070187971026255,0.0742435776023167,1.3001194268341294
24,2.0,0.056569282948505606,0.056569282948505606,0.6198613751964643
25,2.0,0.06485368209944453,0.04610093783734359,0.9601289563084379
26,2.0,0.06152009517174317,0.0596020946344209,2.0228207300318957
27,2.0,0.05602646447610904,0.05602646447610904,2.2226668979576942
28,2.0,0.0410355261592239,0.030062663782517873,2.106211400100989
29,2.0,0.1002764625472603,0.1002764625472603,2.2368818332970193
0,3.0,0.10164496715767268,0.04792571496478937,1.9128016526804572
1,3.0,0.06413046014316004,0.037375176518845254,1.1805371710778445
2,3.0,0.10556105766504165,0.10556105766504165,2.1979414991899944
3,3.0,0.15628008125980863,0.15628008125980863,1.831781511825156
4,3.0,0.04904378834605594,0.03791980641851245,2.2201890428244155
5,3.0,0.07614565075133384,0.07614565075133384,2.209780819008273
6,3.0,0.07495637298216895,0.023778831864926575,2.023904889198718
7,3.0,0.04438982603015984,0.04438982603015984,2.1146866287867283
8,3.0,0.11625106607344105,0.11625106607344105,1.8313501659276739
9,3.0,0.06752990043353724,0.018426256285623888,1.934310492847544
10,3.0,0.08172716844598438,0.08172716844598438,1.547418659350086
11,3.0,0.07919063497321277,0.04226184139767897,2.206873748062222
12,3.0,0.09859174426189088,0.09401674195408694,2.1929396911608876
13,3.0,0.11054385396600597,0.11054385396600597,2.2348366488382396
14,3.0,0.04127320638086829,0.03381582078791556,2.2390684434217576
15,3.0,0.0431404306340859,0.03834199487224765,1.1653839300979882
16,3.0,0.061204195731194844,0.061204195731194844,1.8820399414670703
17,3.0,0.07616312288885752,0.07616312288885752,0.9615901125987847
18,3.0,0.07228710169916641,0.02453713295955695,0.46675940904275137
19,3.0,0.10777748923391983,0.08320210745767342,1.7134398438084446
20,3.0,0.06960172953485322,0.04918272057143103,2.2283033448896674
21,3.0,0.06378139808448258,0.028928658031363907,0.8781607483485487
22,3.0,0.09624410529649374,0.07323206760974688,0.689863740373454
23,3.0,0.08070291642927963,0.0742437401156637,1.3001187661583202
24,3.0,0.05656854899957553,0.05656854899957553,0.619835985184551
25,3.0,0.0648548306997061,0.04610101393230148,0.9601278660011872
26,3.0,0.06052145622846061,0.06052145622846061,2.047122813598577
27,3.0,0.05227334545746798,0.05158931949123757,2.241118925445022
28,3.0,0.040961771524089086,0.02931317930724564,2.1193769452065254
29,3.0,0.09817569703297901,0.09817569703297901,2.2640887283798463
0,5.0,0.09949596636378644,0.047480312041217276,1.9164850098989206
1,5.0,0.06410176944489243,0.037387722329583095,1.1805581638507618
2,5.0,0.11680457412969192,0.1080210486111659,2.20142473984491
3,5.0,0.2785560475883202,0.2785560475883202,1.659581245702583
4,5.0,0.04938982473057196,0.03502408770380461,2.2337485724670785
5,5.0,0.07602446209357017,0.07602446209357017,2.240742701288241
6,5.0,0.0742336100769081,0.024018018115063322,2.024020920398385
7,5.0,0.041397231411465674,0.041397231411465674,2.129392322114441
8,5.0,0.12019754268869276,0.12019754268869276,1.8173552701616984
9,5.0,0.080538432089037,0.018441279505349906,1.9343830780871087
10,5.0,0.08166323065796965,0.08166323065796965,1.547547662234905
11,5.0,0.07813440069119593,0.038942393917617,2.2295466883331727
12,5.0,0.08934974870512669,0.08684484701013306,2.1908998483931157
13,5.0,0.10270100463882903,0.10270100463882903,2.2464270196870615
14,5.0,0.059238484010728065,0.031194030864614586,2.2392639044198575
15,5.0,0.04313532443287471,0.03834817128459678,1.1653826986277522
16,5.0,0.05978134151950032,0.05978134151950032,1.8772312950434156
17,5.0,0.07616279839059747,0.07616279839059747,0.961586857015547
18,5.0,0.07228710169916641,0.024534509945175254,0.46671311096363866
19,5.0,0.12427644793822057,0.0825791710992112,1.7108092545268079
