alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
0,5,-5,55,0.1273942348995423,0.0027277998028116,0.0025546362899422,71.27008032922599,0.0032913911798062717,0.004951971083966354,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,5,-5,70,0.1276231757799667,0.0027459928567344,0.0025229464270119,76.50369863807151,0.0033133431050001673,0.0048905426585174805,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,5,0,40,0.3823856539173899,0.0041648072008454,0.00201325579039,64.93635512391849,0.004452846296564529,0.003533862329796303,1.718220037953145,9.638137218025786,True,,66.89465975542332,67.16781927221957
0,5,0,55,0.3853141123377552,0.0041242484247402,0.0019066131859765,71.79029771163502,0.004409482465476125,0.003346672860734733,1.718220037953145,9.638137218025786,True,,76.36759305611837,76.76780747566934
0,5,0,70,0.3893318230959662,0.0040354489424065,0.0018477607124594,76.94425086262395,0.004314541588989405,0.003243369276475762,1.718220037953145,9.638137218025786,True,,83.48805460343839,83.96569399429009
0,5,5,40,0.6251357991581603,0.0066971140985895,0.0015757746961505,65.93050855830319,0.00634462993907795,0.0025046464975998924,2.037858438712503,,False,outside the equivalent-incidence map,,
0,5,5,55,0.6314043450356053,0.0065506859423252,0.001474882533,72.82146461216978,0.00620590862561636,0.002344281437996193,2.037858438712503,,False,outside the equivalent-incidence map,,
0,5,5,70,0.6377879277535257,0.0064535097478688,0.0014130074668541,78.02580030334124,0.006113847032572338,0.0022459328808771563,2.037858438712503,,False,outside the equivalent-incidence map,,
0,5,10,40,0.8282194092048054,0.0120673179266625,0.0012296674999247,66.96347107690985,0.010129899773737095,0.0017698711831437778,2.3574968394718616,,False,outside the fitted design box,,
0,5,10,55,0.8385858792716742,0.0117318086342589,0.0011423767734207,74.10355823026669,0.00984825678348351,0.001644232877337879,2.3574968394718616,,False,outside the fitted design box,,
0,5,10,70,0.8495600572538207,0.0113881708801986,0.0010866975893675,79.43595900561691,0.009559790363003137,0.0015640933409487726,2.3574968394718616,,False,outside the fitted design box,,
0,10,-10,40,0.2426165957558511,0.0030736904187861,0.0027598229195744,64.75125821983175,0.0037087463396031127,0.005349709995276565,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,10,-10,55,0.2429995013429385,0.0031758954529803,0.0026272086429757,71.66597834841467,0.0038320679806311156,0.005092647154032446,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,10,-10,70,0.2454376290199456,0.0031396759619483,0.0025729432721158,76.84323111074293,0.003788365171797079,0.004987457797560486,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,10,-5,40,0.5000205147353045,0.004747226532523,0.0021558034387111,65.37454081156704,0.005075545893218549,0.0037840758232865683,1.718220037953145,9.638137218025786,True,,67.44936278542153,67.56063848471013
0,10,-5,55,0.5055504730667414,0.0046488265694492,0.0020182663091384,72.18811946363358,0.004970340564370117,0.003542657279520143,1.718220037953145,9.638137218025786,True,,76.88441673548587,77.17618529355099
0,10,-5,70,0.5108925121256667,0.0045745053331399,0.0019392424759968,77.35980479468546,0.004890879252982453,0.0034039469634101808,1.718220037953145,9.638137218025786,True,,84.02035599655115,84.41494835063266
0,10,0,40,0.7458629767020738,0.0076041965643056,0.0017140069774599,66.33061579009211,0.007203970616939048,0.0027243625522380514,2.037858438712503,,False,outside the equivalent-incidence map,,
0,10,0,55,0.752161125298497,0.0074896316216915,0.001593685924045,73.25709635714551,0.007095435484615223,0.0025331158557659206,2.037858438712503,,False,outside the equivalent-incidence map,,
0,10,0,70,0.7592579273185375,0.0073780489780185,0.0015179045990409,78.48577518100554,0.006989725686139744,0.0024126637183387372,2.037858438712503,,False,outside the equivalent-incidence map,,
0,10,5,40,0.9422968311757308,0.013444080101062,0.0013464565955377,67.06474660251315,0.01128562161049461,0.0019379667495009678,2.3574968394718616,,False,outside the fitted design box,,
0,10,5,55,0.9556101065608756,0.0129111575597723,0.0012527967224998,74.30807732867207,0.01083826023630705,0.0018031612754058689,2.3574968394718616,,False,outside the fitted design box,,
0,10,5,70,0.9696664595760182,0.0124179087436282,0.0011929260114534,79.65965900289723,0.010424202936961816,0.0017169888375705678,2.3574968394718616,,False,outside the fitted design box,,
0,10,10,40,1.0874534653087196,0.0236551913586158,0.0010482742318077,65.98960064487336,0.017595299135405383,0.001366251087195405,2.67713524023122,,False,outside the fitted design box,,
0,10,10,55,1.106996563512752,0.0224298635559043,0.0009740694335469,73.81267890008603,0.016683870903826732,0.0012695374761738838,2.67713524023122,,False,outside the fitted design box,,
0,10,10,70,1.125789206081189,0.0214836279289213,0.0009254582786035,79.7033842142667,0.01598003813169066,0.0012061809218715666,2.67713524023122,,False,outside the fitted design box,,
3,-10,-10,40,-0.8614762352234044,0.0013373648132966,0.0097638784071296,67.00461195482708,0.0020387329087246547,0.02906080963036457,0.22888527543467635,,False,outside the fitted design box,,
3,-10,-10,55,-0.8542079244601654,0.0012491176655719,0.0111591471119471,74.33196717091286,0.001904205394333164,0.03321363052009408,0.22888527543467635,,False,outside the fitted design box,,
3,-10,-10,70,-0.8613203865305686,0.001199295382882,0.0114265590979558,79.75343763760105,0.0018282542953526983,0.03400954465321172,0.22888527543467635,,False,outside the fitted design box,,
3,-10,-5,40,-0.7010407427515549,0.0017187434655775,0.0036391604712057,65.00993198631215,0.002321652928732409,0.009808174875698628,0.5485236761940347,,False,outside the fitted design box,,
3,-10,-5,55,-0.6857084954350685,0.0016116364286284,0.0045873841255118,72.43872529576673,0.0021769743475474174,0.012363803707209567,0.5485236761940347,,False,outside the fitted design box,,
3,-10,-5,70,-0.6824449745666109,0.0015733375436091,0.0053640057088133,78.09379424424625,0.002125240787331456,0.014456934900937713,0.5485236761940347,,False,outside the fitted design box,,
