alpha,delta1,delta2,U,CL,dCL_dalpha,dCL_dd1,dCL_dd2,dCL_dU,SPL,dSPL_dalpha,dSPL_dd1,dSPL_dd2,dSPL_dU,sigma
6.871503991727447413e+00,6.256591003274124319e+00,2.192295966691183651e+00,5.888650514386995383e+01,1.309617489648598809e+00,9.733960900788558857e-02,6.186071716987170260e-02,4.045215446348827959e-02,1.600448493390646022e-03,8.255006545306358134e+01,1.030182141041043664e+00,1.154356083879632677e-01,5.987458422413875075e-02,5.535278892268920004e-01,3.616386366938733610e-01
3.312588579968341218e+00,-1.445903339448989300e+00,7.452543662883741149e+00,4.726067822392398909e+01,6.372668966864974971e-01,1.111913924132799797e-01,7.144706815030990588e-02,4.872486621359355813e-02,5.614501642373544155e-04,7.079524757473103591e+01,1.286703091287793033e+00,3.118229432477008234e-01,2.579690167512213583e-01,4.952546722685721159e-01,5.306145457959371425e-01
5.434115190556804365e+00,1.997088750868927676e+00,-9.521939477153383180e+00,6.356262164756529387e+01,2.638817913200229848e-01,1.119032987956373043e-01,7.786324190547842805e-02,4.825187774170912325e-02,3.891079815478458502e-04,7.895783718565083120e+01,1.318108043254038408e+00,3.159981869828861756e-01,1.633323015772037423e-01,3.482488911407175536e-01,5.302942847418898875e-01
4.235740391332736721e+00,4.563225662942675953e+00,-4.568095594808722737e+00,4.437038300150301495e+01,5.795310334814849362e-01,1.097336841424217529e-01,7.723370794626642499e-02,5.285521637215826601e-02,5.576491105409609470e-04,6.987077768697898250e+01,1.291453590377716676e+00,3.659503183371858870e-01,2.081398335344853689e-01,4.206943938102833402e-01,4.687615107530127556e-01
7.888793553357098531e+00,6.424552166131189068e+00,-4.455608346114095397e+00,6.481828986938791104e+01,1.134745413606062625e+00,1.025915958234421277e-01,7.174682807785770500e-02,4.887808142344113316e-02,1.268029773023796611e-03,8.526690888477472186e+01,9.926224862381529679e-01,3.411612581566223490e-01,2.061624903071359038e-01,3.355760678527676122e-01,5.054761422144431471e-01
4.444212995856422488e+00,5.210302399605662771e+00,-7.587351433876836637e+00,5.742116111835657222e+01,5.000144049498091992e-01,1.112546844529691686e-01,7.834214133009580194e-02,5.257307763753021196e-02,5.072511134592292206e-04,7.645507278234696003e+01,1.379993237455692467e+00,3.784942770645194909e-01,1.963461043093044367e-01,4.979541551431942437e-01,2.539850099065409927e-01
5.509115734697177302e+00,-9.857134494420030535e+00,8.214269085764765777e+00,4.868118434735308142e+01,2.999084627813722870e-01,1.156248752668622981e-01,6.991900918203433624e-02,5.220810168619988839e-02,2.746344292562235027e-04,7.198510452326341635e+01,1.137301860211187288e+00,3.098695238092031290e-01,2.790234034964011456e-01,5.376937214088228778e-01,4.986558500169757102e-01
8.631889470108498941e+00,-1.594863326549297966e+00,-9.391214666687536905e+00,5.539730199531216925e+01,3.523108557391111950e-01,1.168941630320018271e-01,7.725617009719475126e-02,4.948240013565359530e-02,2.868625287115185549e-04,7.747708067411679167e+01,7.464046695913210128e-01,3.316673242366622865e-01,2.057468110356290292e-01,5.923387204506376236e-01,1.149425806583926624e-01
4.955901949366015025e+00,-7.372756392370547474e-01,3.451220590442254377e+00,5.886554209193941034e+01,6.773029243479299355e-01,1.118700944675387055e-01,7.351825438481164599e-02,5.038477236681592614e-02,5.391685987493137185e-04,7.834195204124307566e+01,1.459231066857919812e+00,3.747214084954588187e-01,2.844735394240215931e-01,4.803172511309869996e-01,3.578943644031349347e-01
1.087707922997206467e+01,-8.890009937745546154e+00,-8.573206254855854525e+00,4.775768495777937517e+01,8.251477037320398278e-02,1.246043782132048444e-01,7.828887792273593604e-02,5.618039360461277165e-02,1.796088024557509555e-04,7.123700219986343996e+01,-9.803282351822831253e-02,2.988265741290714872e-01,1.038291163625732622e-01,5.905071581141788650e-01,5.254012234659756198e-01
