scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,6.100000000000000000e+01,6.099999999999999867e-01,1.131990444862001688e+01,-7.572259470513772461e-01,2.386223450920167188e+00,1.298350424254448798e+00,-1.649575745551246087e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.200000000000000000e+01,6.199999999999999956e-01,1.132407657480281138e+01,-8.446956717647045032e-01,2.456557873339714426e+00,1.300522626758862543e+00,5.226267588624988747e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.300000000000000000e+01,6.300000000000000044e-01,1.135512377662860040e+01,-9.121529129726734242e-01,2.537499380935070104e+00,1.298349266181757056e+00,-1.650733818242988704e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.400000000000000000e+01,6.400000000000000133e-01,1.135853051808658343e+01,-9.961086481237325652e-01,2.604415307460253626e+00,1.300526849166642851e+00,5.268491666428065656e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,6.500000000000000222e-01,1.138886550543300835e+01,-1.060062548729586052e+00,2.682045303809418080e+00,1.298348209504548434e+00,-1.651790495451610497e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.600000000000000000e+01,6.600000000000000311e-01,1.139153365349813107e+01,-1.140667498888299436e+00,2.745691063554149380e+00,1.300531001676386467e+00,5.310016763864222611e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.700000000000000000e+01,6.700000000000000400e-01,1.142118080639750133e+01,-1.201279242057293972e+00,2.820156444845150823e+00,1.298347225112717052e+00,-1.652774887282992822e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.800000000000000000e+01,6.800000000000000488e-01,1.142313668274618443e+01,-1.278688712650347004e+00,2.880674183779079467e+00,1.300535091840848478e+00,5.350918408484339750e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.900000000000000000e+01,6.900000000000000577e-01,1.145212032209035691e+01,-1.336111770958042566e+00,2.952115524932126256e+00,1.298346303754633446e+00,-1.653696245366598205e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,7.000000000000000666e-01,1.145338980815255958e+01,-1.410473531373864553e+00,3.009641476545066308e+00,1.300539123564115052e+00,5.391235641150071700e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.100000000000000000e+01,7.099999999999999645e-01,1.148173409621987417e+01,-1.464854046775279750e+00,3.078193278613564399e+00,1.298345441333503825e+00,-1.654558666496219743e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.200000000000000000e+01,7.199999999999999734e-01,1.148234260720364119e+01,-1.536308710668653710e+00,3.132857998568697955e+00,1.300543100140163499e+00,5.431001401634549808e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.300000000000000000e+01,7.299999999999999822e-01,1.151007147085911519e+01,-1.587785849238162017e+00,3.198648935756305711e+00,1.298344634977377510e+00,-1.655365022622534710e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.400000000000000000e+01,7.399999999999999911e-01,1.151004391449590969e+01,-1.656467246791108572e+00,3.250577519127192616e+00,1.300547024898096815e+00,5.470248980967706842e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,7.500000000000000000e-01,1.153718097433534773e+01,-1.705173539758812362e+00,3.313730677320992690e+00,1.298343882068575539e+00,-1.656117931424505585e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.600000000000000000e+01,7.600000000000000089e-01,1.153654170768623821e+01,-1.771209074228811575e+00,3.363042964889288111e+00,1.300550901235802304e+00,5.509012358022591371e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.700000000000000000e+01,7.700000000000000178e-01,1.156311021129820915e+01,-1.817270746770806911e+00,3.423676070581369579e+00,1.298343180056569235e+00,-1.656819943430809516e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.800000000000000000e+01,7.800000000000000266e-01,1.156188300068748021e+01,-1.880781733009498469e+00,3.470486846915394441e+00,1.300554732528045099e+00,5.547325280450543517e-04,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.900000000000000000e+01,7.900000000000000355e-01,1.158790576132912342e+01,-1.924319020065662800e+00,3.528712487005199350e+00,1.298342526459454582e+00,-1.657473540545462143e-03,1.079459690867759641e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,8.000000000000000444e-01,1.158597341754760990e+01,-1.984814924497783295e+00,3.572537050205539799e+00,1.300558522033874453e+00,5.585220338744090185e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.100000000000000000e+01,8.100000000000000533e-01,1.161133859396383095e+01,-2.025363846086169595e+00,3.627894886225774496e+00,1.298341932006045862e+00,-1.658067993954182029e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.200000000000000000e+01,8.200000000000000622e-01,1.160887593468101642e+01,-2.083614684787375992e+00,3.669485673261967396e+00,1.300562278860465160e+00,5.622788604651152156e-04,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.300000000000000000e+01,8.300000000000000711e-01,1.163375153396704675e+01,-2.121915025750699346e+00,3.722697352229218382e+00,1.298341358276812185e+00,-1.658641723187859185e-03,1.131788706154142760e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.400000000000000000e+01,8.399999999999999689e-01,1.163077971535354038e+01,-2.178022003879511281e+00,3.762151672039052652e+00,1.300565993361477712e+00,5.659933614776679889e-04,1.131788706154142760e-01,0.000000000000000000e+00
